,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Sault Sainte Marie,CA,46.5168,-84.3333,57.02,82,100,3.44,overcast clouds
283,Kaitangata,NZ,-46.2817,169.8464,43.07,80,83,16.58,broken clouds
284,Puerto Escondido,MX,15.85,-97.0667,79.29,81,18,5.39,few clouds
285,Cornereva,RO,45.0667,22.4167,47.5,64,100,2.06,overcast clouds
286,Rockland,US,41.1668,-74.0496,57.43,91,68,4.18,broken clouds
287,Idenao,CM,4.2475,9.0047,75.88,90,100,1.05,overcast clouds
288,Ciudad Bolivar,VE,8.1222,-63.5497,75.15,89,100,5.03,overcast clouds
289,Lasa,IT,46.6166,10.7002,55.62,82,18,4.97,few clouds
290,Kirkland Lake,CA,48.1446,-80.0377,59.29,77,100,37.98,light rain
291,Lazaro Cardenas,MX,17.9583,-102.2,78.3,86,94,3.24,overcast clouds
292,Touros,BR,-5.1989,-35.4608,75.6,87,6,9.15,clear sky
293,Faya,SA,18.3851,42.4509,68.11,30,34,7.27,scattered clouds
294,Ancud,CL,-41.8697,-73.8203,45.39,83,59,6.85,broken clouds
295,Sand Springs,US,36.1398,-96.1089,76.23,55,49,1.01,scattered clouds
296,Brejo Da Madre De Deus,BR,-8.1458,-36.3711,65.21,97,51,2.98,broken clouds
297,Liwale,TZ,-9.7667,37.9333,66.88,81,80,3.04,broken clouds
298,Choma,ZM,-16.8065,26.9531,66.25,33,0,7.76,clear sky
299,Nadvoitsy,RU,63.8667,34.3167,46.22,87,100,14.94,overcast clouds
300,Dalvik,IS,65.9702,-18.5286,40.93,95,100,9.51,overcast clouds
301,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.31,89,10,8.03,clear sky
302,Brighton,GB,50.8284,-0.1395,52.81,86,0,5.01,clear sky
303,Ipira,BR,-12.1583,-39.7372,67.93,90,27,5.26,scattered clouds
304,Tigil,RU,57.8,158.6667,39.0,70,71,27.78,light rain
305,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,93,100,3.44,overcast clouds
306,Mehran,IR,33.1222,46.1646,87.35,12,0,6.22,clear sky
307,Navoloki,RU,57.4657,41.9634,43.3,92,92,6.49,overcast clouds
308,Neiafu,TO,-18.65,-173.9833,81.28,78,75,9.22,broken clouds
309,Tanabe,JP,33.7333,135.3667,72.61,60,75,4.61,broken clouds
310,Sabha,LY,27.0377,14.4283,67.39,61,0,11.61,clear sky
311,Port Hedland,AU,-20.3167,118.5667,84.25,54,8,12.66,clear sky
